Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206_3216Metric,118.3876,-100.3808,180,top
C2,100nF,C_0402_1005Metric,119.2048,-98.5012,180,top
C3,1uF,C_1206_3216Metric,120.4214,-91.5162,0,top
C4,22uF,C_0805_2012Metric,124.333,-96.835,90,top
C5,22uF,C_0805_2012Metric,126.365,-96.83,90,top
C6,22uF,C_0805_2012Metric,128.4478,-96.835,90,top
C7,1uF/25V(10%),C_0402_1005Metric,136.7308,-143.1544,0,top
C8,10uF/25V(20%),C_0603_1608Metric,137.2616,-146.2916,-90,top
C9,0.1uF/50V(20%),C_0603_1608Metric,135.5598,-146.2402,-90,top
R1,24k,R_0603_1608Metric,115.4054,-96.2302,0,top
R2,10k,R_0603_1608Metric,115.4308,-97.7796,180,top
R3,10K,R_0402_1005Metric,135.2042,-143.639,90,top
R4,22k,R_0603_1608Metric,108.7374,-145.1224,90,top
U1,TPSM33625,QFN-FCMOD,120.665,-95.634,90,top
