Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206_3216Metric,113.1922,-140.7396,-90,top
C2,100nF,C_0402_1005Metric,111.3126,-139.8996,-90,top
C3,1uF,C_1206_3216Metric,104.2006,-138.8872,90,top
C4,22uF,C_0805_2012Metric,109.728,-134.112,90,top
C5,22uF,C_0805_2012Metric,111.76,-134.0848,90,top
C6,22uF,C_0805_2012Metric,113.792,-134.112,90,top
C7,1uF/25V(10%),C_0402_1005Metric,108.5368,-72.0344,180,top
C8,10uF/25V(20%),C_0603_1608Metric,107.1372,-68.7962,90,top
C9,0.1uF/50V(20%),C_0603_1608Metric,108.712,-68.847,90,top
R1,24k,R_0603_1608Metric,107.4772,-143.3154,90,top
R2,10k,R_0603_1608Metric,109.093,-143.319,-90,top
R3,10K,R_0402_1005Metric,108.5362,-70.9676,0,top
R4,4k7,R_0603_1608Metric,107.4806,-82.55,0,top
R5,4k7,R_0603_1608Metric,124.1552,-89.4334,90,top
R6,10k,R_0603_1608Metric,118.2878,-131.0508,90,top
R7,10k,R_0603_1608Metric,120.2182,-131.0762,90,top
R9,10k,R_0603_1608Metric,126.365,-137.985,-90,top
R10,82k,R_0603_1608Metric,124.8156,-137.985,90,top
U1,TPSM33625,QFN-FCMOD_11,108.4424,-138.4264,180,top
