Comment,Designator,FootPrint,LCSC Part Number
4.7uF,C1,C_1206_3216Metric,C29823
100nF,C2,C_0402_1005Metric,C307331
1uF,C3,C_1206_3216Metric,C1848
22uF,"C4,C5,C6",C_0805_2012Metric,C45783
1uF/25V(10%),C7,C_0402_1005Metric,C52923
10uF/25V(20%),C8,C_0603_1608Metric,C96446
0.1uF/50V(20%),C9,C_0603_1608Metric,C14663
24k,R1,R_0603_1608Metric,C23352
10k,"R2,R6,R7,R9",R_0603_1608Metric,C25804
10K,R3,R_0402_1005Metric,C25744
4k7,"R4,R5",R_0603_1608Metric,C23162
82k,R10,R_0603_1608Metric,C23254
TPSM33625,U1,QFN-FCMOD_11,C7073593
